,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
49,-,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000 km,4.0,Variator,4x4,04-May,Left wheel,White,8
50,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
51,1104,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
52,-,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5 Turbo,132542 km,4.0,Manual,Front,04-May,Left wheel,White,10
53,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12
54,639,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000 km,1.0,Tiptronic,4x4,04-May,Left wheel,White,12
55,-,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2,260000 km,4.0,Manual,Rear,02-Mar,Left wheel,Blue,0
56,-,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0 Turbo,5323 km,4.0,Tiptronic,4x4,04-May,Left wheel,Grey,0
57,629,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
58,919,BMW,535,2012,Sedan,Yes,Petrol,3,204318 km,6.0,Automatic,Rear,04-May,Left wheel,Black,12
59,781,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000 km,4.0,Automatic,Front,04-May,Left wheel,Red,6
60,530,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,8
61,-,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,6
62,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
63,-,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6
64,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
65,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,719847 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
66,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
67,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
68,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510 km,4.0,Automatic,Front,04-May,Left wheel,White,12
69,-,TOYOTA,Vitz,2001,Hatchback,No,Petrol,1.5,210000 km,4.0,Manual,Front,04-May,Right-hand drive,Sky blue,3
70,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
71,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
72,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
73,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
74,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000 km,4.0,Automatic,Front,04-May,Left wheel,White,8
75,-,FORD,Mustang,2016,Cabriolet,Yes,Petrol,2.3 Turbo,75000 km,4.0,Tiptronic,Rear,02-Mar,Left wheel,Silver,6
76,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362 km,6.0,Automatic,Rear,04-May,Left wheel,White,12
77,-,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
78,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
79,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614 km,4.0,Automatic,Front,04-May,Left wheel,White,0
80,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
81,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656 km,4.0,Automatic,Front,04-May,Left wheel,White,12
82,1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000 km,8.0,Automatic,4x4,04-May,Right-hand drive,White,10
83,-,HONDA,Cr-v,1998,Jeep,No,Petrol,2,0 km,4.0,Automatic,4x4,04-May,Right-hand drive,White,2
84,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
85,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
86,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191 km,4.0,Automatic,Front,04-May,Left wheel,White,4
87,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Green,12
88,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
89,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
90,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811 km,8.0,Automatic,4x4,04-May,Left wheel,Black,10
91,-,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2,350000 km,6.0,Manual,Rear,04-May,Left wheel,Blue,2
92,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0
93,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
94,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12
95,-,BMW,428 Sport Line,2013,Coupe,Yes,Petrol,2.0 Turbo,160000 km,4.0,Automatic,Rear,02-Mar,Left wheel,Black,12
96,-,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8 Turbo,333333 km,4.0,Manual,Rear,04-May,Left wheel,Black,0
97,-,HONDA,Civic,1997,Hatchback,Yes,Petrol,1.4,0 km,4.0,Manual,Front,02-Mar,Left wheel,Blue,6
98,-,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Grey,8
99,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
100,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827 km,4.0,Automatic,Front,04-May,Left wheel,Green,12
101,1138,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464 km,6.0,Automatic,Rear,02-Mar,Left wheel,Black,12
102,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,91760 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
103,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
104,-,MERCEDES-BENZ,Sprinter,2004,Microbus,No,Diesel,2.2 Turbo,300000 km,4.0,Manual,Rear,04-May,Left wheel,White,1
105,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400 km,4.0,Automatic,Front,04-May,Left wheel,Silver,6
106,765,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200 km,4.0,Automatic,Front,04-May,Left wheel,Sky blue,10
107,917,BMW,X5,2013,Jeep,Yes,Diesel,3,137802 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
108,917,BMW,535,2013,Sedan,Yes,Hybrid,3,151586 km,6.0,Automatic,Rear,04-May,Left wheel,White,12
109,-,KIA,Picanto,2016,Hatchback,No,Petrol,1.2,107000 km,4.0,Manual,Front,04-May,Left wheel,Silver,2
110,-,BMW,328,2008,Sedan,Yes,CNG,3,210408 km,6.0,Tiptronic,Rear,04-May,Left wheel,White,12
111,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
112,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
113,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4.0,Automatic,Front,04-May,Left wheel,White,4
114,-,MITSUBISHI,Airtrek,2005,Jeep,No,LPG,2.4,144000 km,4.0,Tiptronic,4x4,04-May,Right-hand drive,White,16
115,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000 km,12.0,Tiptronic,Rear,04-May,Right-hand drive,White,12
116,-,MITSUBISHI,Lancer,1997,Sedan,No,Petrol,1.3,100000 km,4.0,Manual,Rear,04-May,Left wheel,Red,0
117,-,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,178000 km,4.0,Variator,Front,04-May,Right-hand drive,Silver,4
118,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
119,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962 km,4.0,Automatic,Front,04-May,Left wheel,White,4
120,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,12
121,-,RENAULT,Clio,1995,Hatchback,No,Petrol,1.2,50000 km,3.0,Manual,Front,02-Mar,Left wheel,Green,0
122,777,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0 km,4.0,Automatic,Front,04-May,Left wheel,Red,12
123,1537,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
124,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
125,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6
126,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
127,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
128,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
129,-,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2 Turbo,111111 km,4.0,Manual,Rear,04-May,Left wheel,Silver,4
130,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444 km,4.0,Automatic,Front,04-May,Left wheel,Yellow,4
131,-,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,White,12
132,2866,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709 km,6.0,Automatic,Front,04-May,Left wheel,Grey,12
133,-,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,8
134,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444 km,4.0,Automatic,Front,04-May,Left wheel,Yellow,4
135,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4.0,Automatic,Front,04-May,Left wheel,White,0
136,-,MITSUBISHI,Pajero,1997,Jeep,No,Petrol,2.4,142000 km,4.0,Automatic,4x4,02-Mar,Left wheel,Blue,6
137,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
138,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
139,-,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6
140,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12
141,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
142,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893 km,4.0,Automatic,Front,04-May,Left wheel,Brown,0
143,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
144,-,MERCEDES-BENZ,208,1985,Universal,No,Diesel,2.5,1111111 km,4.0,Manual,Rear,04-May,Left wheel,Black,1
145,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058 km,4.0,Automatic,Front,04-May,Left wheel,White,12
146,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330 km,4.0,Automatic,4x4,04-May,Left wheel,Grey,8
147,-,FIAT,500,2011,Coupe,No,Petrol,1.2,141000 km,4.0,Automatic,Front,02-Mar,Right-hand drive,Red,4
148,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
149,-,SUBARU,Legacy,2005,Goods wagon,No,Petrol,2.0 Turbo,180000 km,6.0,Tiptronic,4x4,04-May,Right-hand drive,Blue,6
150,585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920 km,4.0,Tiptronic,Front,04-May,Left wheel,Grey,12
151,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
152,1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200 km,6.0,Tiptronic,Front,04-May,Left wheel,White,16
153,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,04-May,Left wheel,White,12
154,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
155,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,258706 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
156,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4.0,Automatic,Front,04-May,Left wheel,Red,0
157,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
158,-,MERCEDES-BENZ,A 170,2008,Hatchback,No,Petrol,1.7,180000 km,4.0,Automatic,Front,04-May,Left wheel,Golden,8
159,1079,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6
160,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
161,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000 km,4.0,Automatic,4x4,04-May,Left wheel,White,4
162,1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358 km,6.0,Automatic,Front,04-May,Left wheel,Grey,12
163,1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176 km,4.0,Automatic,Front,04-May,Left wheel,White,6
164,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,107005 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
165,-,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000 km,4.0,Manual,Front,04-May,Left wheel,Beige,2
166,1273,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
167,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997 km,4.0,Automatic,Front,04-May,Left wheel,White,4
168,924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728 km,6.0,Tiptronic,Front,04-May,Left wheel,Silver,8
169,-,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777 km,6.0,Manual,Rear,04-May,Left wheel,Blue,4
170,1077,MAZDA,1000,2019,Jeep,Yes,Petrol,2,11566 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12
171,-,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000 km,1.0,Tiptronic,Rear,>5,Right-hand drive,Blue,0
172,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
173,584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000 km,4.0,Tiptronic,Rear,04-May,Left wheel,Grey,8
174,-,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000 km,4.0,Variator,Front,04-May,Left wheel,White,12
175,-,TOYOTA,Vitz funkargo,2003,Universal,No,Petrol,1.5,181926 km,4.0,Automatic,4x4,04-May,Right-hand drive,Silver,2
176,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255 km,4.0,Automatic,Front,04-May,Left wheel,Red,4
177,2078,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800 km,6.0,Manual,Rear,04-May,Left wheel,Grey,6
178,915,AUDI,A6,2014,Sedan,Yes,Petrol,3,164488 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
179,831,FORD,Transit,2011,Goods wagon,No,Diesel,2.4 Turbo,125000 km,4.0,Manual,4x4,04-May,Left wheel,White,2
180,475,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574 km,4.0,Automatic,Front,04-May,Left wheel,Red,12
181,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
182,-,OPEL,Vectra,1995,Sedan,No,CNG,2,0 km,4.0,Manual,Front,04-May,Left wheel,White,2
183,-,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5 Turbo,11000 km,6.0,Tiptronic,4x4,04-May,Right-hand drive,Silver,4
184,-,NISSAN,Pathfinder,2010,Jeep,Yes,LPG,4,90200 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
185,-,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3,184000 km,6.0,Automatic,4x4,04-May,Right-hand drive,White,12
186,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
187,-,VOLKSWAGEN,Golf,1996,Sedan,No,CNG,2,0 km,4.0,Manual,Front,04-May,Left wheel,Green,0
188,-,MERCEDES-BENZ,Vaneo,2004,Universal,No,LPG,1.9,170000 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,4
189,-,TOYOTA,Camry Se,2018,Sedan,Yes,Petrol,2.5,25000 km,4.0,Tiptronic,Front,04-May,Left wheel,Blue,12
190,639,VOLKSWAGEN,Jetta,2014,Universal,Yes,Diesel,2,113214 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
191,836,TOYOTA,Tacoma,2012,Sedan,Yes,Petrol,2.7,394069 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12
192,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
193,-,HONDA,Cr-v,2002,Jeep,No,Petrol,2.4,260000 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,6
194,-,NISSAN,Patrol Y60,1990,Jeep,No,Diesel,2.8 Turbo,222222 km,4.0,Manual,Rear,04-May,Left wheel,Black,0
195,917,AUDI,A7,2013,Hatchback,Yes,Petrol,3,301707 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
196,751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,175827 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
